,ID,N_DCODE,음식코드명
426,A604415901,144,잡곡밥
427,A604415901,144,잡곡밥
428,A604415901,144,잡곡밥
429,A604415902,144,잡곡밥
430,A604415902,144,잡곡밥
431,A604415902,144,잡곡밥
432,A604415902,144,잡곡밥
433,A604415902,144,잡곡밥
434,A604415902,144,잡곡밥
435,A604415902,144,잡곡밥
436,A604415902,144,잡곡밥
437,A604415902,144,잡곡밥
438,A604415902,144,잡곡밥
439,A604415902,144,잡곡밥
440,A604415902,144,잡곡밥
441,A604415902,144,잡곡밥
442,A604415902,144,잡곡밥
456,A604441403,144,잡곡밥
457,A604441403,144,잡곡밥
458,A604441403,144,잡곡밥
459,A604441403,144,잡곡밥
460,A604441403,144,잡곡밥
461,A604441403,144,잡곡밥
474,A605211901,144,잡곡밥
475,A605211901,144,잡곡밥
476,A605211901,144,잡곡밥
477,A605211901,144,잡곡밥
478,A605211901,144,잡곡밥
479,A605211901,144,잡곡밥
480,A605211901,144,잡곡밥
481,A605211901,144,잡곡밥
482,A605211901,144,잡곡밥
483,A605211902,144,잡곡밥
484,A605211902,144,잡곡밥
485,A605211902,144,잡곡밥
486,A605211902,144,잡곡밥
487,A605211902,144,잡곡밥
488,A605211902,144,잡곡밥
489,A605285001,144,잡곡밥
490,A605285001,144,잡곡밥
491,A605285001,144,잡곡밥
492,A605285001,144,잡곡밥
493,A605285001,144,잡곡밥
494,A605285001,144,잡곡밥
495,A605285001,144,잡곡밥
496,A605285001,144,잡곡밥
497,A605285001,144,잡곡밥
498,A605285001,144,잡곡밥
499,A605285001,144,잡곡밥
500,A605285001,144,잡곡밥
501,A605285001,144,잡곡밥
502,A605285001,144,잡곡밥
503,A605285001,144,잡곡밥
504,A605285001,144,잡곡밥
505,A605285001,144,잡곡밥
506,A605285001,144,잡곡밥
507,A605285001,144,잡곡밥
508,A605285001,144,잡곡밥
509,A605285001,144,잡곡밥
510,A605285001,144,잡곡밥
511,A605285001,144,잡곡밥
512,A605285001,144,잡곡밥
591,A605414201,144,잡곡밥
592,A605414201,144,잡곡밥
593,A605414201,144,잡곡밥
594,A605414201,144,잡곡밥
595,A605414201,144,잡곡밥
596,A605414201,144,잡곡밥
597,A605414201,144,잡곡밥
598,A605414201,144,잡곡밥
599,A605414201,144,잡곡밥
600,A605414201,144,잡곡밥
601,A605414201,144,잡곡밥
602,A605414201,144,잡곡밥
603,A605414201,144,잡곡밥
604,A605414201,144,잡곡밥
605,A605414201,144,잡곡밥
606,A605414202,144,잡곡밥
607,A605414202,144,잡곡밥
608,A605414202,144,잡곡밥
609,A605414202,144,잡곡밥
610,A605414202,144,잡곡밥
712,A606361505,144,잡곡밥
713,A606361505,144,잡곡밥
714,A606361505,144,잡곡밥
715,A606361505,144,잡곡밥
716,A606361505,144,잡곡밥
717,A606361505,144,잡곡밥
718,A606361505,144,잡곡밥
719,A606361505,144,잡곡밥
720,A606361505,144,잡곡밥
721,A606361505,144,잡곡밥
722,A606361505,144,잡곡밥
723,A606361505,144,잡곡밥
724,A606361505,144,잡곡밥
725,A606361505,144,잡곡밥
726,A606361505,144,잡곡밥
727,A606361505,144,잡곡밥
728,A606361506,144,잡곡밥
729,A606361506,144,잡곡밥
730,A606361506,144,잡곡밥
731,A606361506,144,잡곡밥
732,A606361506,144,잡곡밥
733,A606361506,144,잡곡밥
734,A606361506,144,잡곡밥
735,A606361506,144,잡곡밥
736,A606361506,144,잡곡밥
737,A606361506,144,잡곡밥
738,A606361506,144,잡곡밥
739,A606361506,144,잡곡밥
740,A606361506,144,잡곡밥
741,A606361506,144,잡곡밥
742,A606361506,144,잡곡밥
743,A606361506,144,잡곡밥
744,A607193201,144,잡곡밥
745,A607193201,144,잡곡밥
746,A607193201,144,잡곡밥
747,A607193201,144,잡곡밥
748,A607193201,144,잡곡밥
749,A607193201,144,잡곡밥
750,A607193201,144,잡곡밥
751,A607193201,144,잡곡밥
752,A607193201,144,잡곡밥
774,A607227201,144,잡곡밥
775,A607227201,144,잡곡밥
776,A607227201,144,잡곡밥
777,A607227201,144,잡곡밥
778,A607227201,144,잡곡밥
779,A607227202,144,잡곡밥
780,A607227202,144,잡곡밥
781,A607227202,144,잡곡밥
782,A607227202,144,잡곡밥
783,A607227202,144,잡곡밥
784,A607232301,144,잡곡밥
785,A607232301,144,잡곡밥
786,A607232301,144,잡곡밥
787,A607232301,144,잡곡밥
788,A607232301,144,잡곡밥
789,A607232301,144,잡곡밥
790,A607232302,144,잡곡밥
791,A607232302,144,잡곡밥
792,A607232302,144,잡곡밥
793,A607232302,144,잡곡밥
794,A607232302,144,잡곡밥
795,A607232302,144,잡곡밥
799,A607249301,144,잡곡밥
800,A607249301,144,잡곡밥
801,A607249301,144,잡곡밥
802,A607249301,144,잡곡밥
803,A607249301,144,잡곡밥
804,A607249301,144,잡곡밥
805,A607249301,144,잡곡밥
806,A607249301,144,잡곡밥
807,A607249301,144,잡곡밥
808,A607249301,144,잡곡밥
809,A607249301,144,잡곡밥
810,A607249301,144,잡곡밥
897,A608276501,144,잡곡밥
898,A608276501,144,잡곡밥
899,A608276501,144,잡곡밥
900,A608276501,144,잡곡밥
901,A608276501,144,잡곡밥
902,A608276501,144,잡곡밥
903,A608276501,144,잡곡밥
904,A608276501,144,잡곡밥
911,A608346201,144,잡곡밥
912,A608346201,144,잡곡밥
913,A608346201,144,잡곡밥
914,A608346201,144,잡곡밥
915,A608346201,144,잡곡밥
916,A608346201,144,잡곡밥
917,A608346201,144,잡곡밥
918,A608346201,144,잡곡밥
1040,A609288402,144,잡곡밥
1041,A609288402,144,잡곡밥
1042,A609288402,144,잡곡밥
1043,A609288402,144,잡곡밥
1044,A609288402,144,잡곡밥
1045,A609288402,144,잡곡밥
1046,A609288402,144,잡곡밥
1047,A609288402,144,잡곡밥
1048,A609288402,144,잡곡밥
1049,A609288402,144,잡곡밥
1050,A609288402,144,잡곡밥
1051,A609288402,144,잡곡밥
1052,A609288402,144,잡곡밥
1053,A609288402,144,잡곡밥
1054,A609288402,144,잡곡밥
1055,A609288402,144,잡곡밥
1056,A609342801,144,잡곡밥
1057,A609342801,144,잡곡밥
1058,A609342801,144,잡곡밥
1059,A609342801,144,잡곡밥
1060,A609342801,144,잡곡밥
1061,A609342801,144,잡곡밥
1062,A609342801,144,잡곡밥
1063,A609342801,144,잡곡밥
1064,A609342801,144,잡곡밥
1065,A609342801,144,잡곡밥
1066,A609342802,144,잡곡밥
1067,A609342802,144,잡곡밥
1068,A609342802,144,잡곡밥
1069,A609342802,144,잡곡밥
1070,A609342802,144,잡곡밥
1071,A609342802,144,잡곡밥
1072,A609342802,144,잡곡밥
1073,A609342802,144,잡곡밥
1074,A609342802,144,잡곡밥
1075,A609342802,144,잡곡밥
1076,A609342802,144,잡곡밥
1077,A609342802,144,잡곡밥
1078,A609342802,144,잡곡밥
1079,A609342802,144,잡곡밥
1080,A609342802,144,잡곡밥
1218,A610398901,144,잡곡밥
1219,A610398901,144,잡곡밥
1220,A610398901,144,잡곡밥
1221,A610398901,144,잡곡밥
1222,A610398901,144,잡곡밥
1272,A611293503,144,잡곡밥
1273,A611293503,144,잡곡밥
1274,A611293503,144,잡곡밥
1275,A611293503,144,잡곡밥
1276,A611293503,144,잡곡밥
1277,A611293503,144,잡곡밥
1286,A611305401,144,잡곡밥
1287,A611305401,144,잡곡밥
1288,A611305401,144,잡곡밥
1289,A611305401,144,잡곡밥
1290,A611305401,144,잡곡밥
1291,A611305401,144,잡곡밥
1292,A611305401,144,잡곡밥
1293,A611305401,144,잡곡밥
1294,A611305401,144,잡곡밥
1295,A611305401,144,잡곡밥
1296,A611305401,144,잡곡밥
1297,A611305401,144,잡곡밥
1298,A611305401,144,잡곡밥
1299,A611305401,144,잡곡밥
1300,A611305401,144,잡곡밥
1301,A611305401,144,잡곡밥
1302,A611305401,144,잡곡밥
1303,A611305401,144,잡곡밥
1304,A611305401,144,잡곡밥
1305,A611305401,144,잡곡밥
1306,A611305401,144,잡곡밥
1307,A611305401,144,잡곡밥
1308,A611305401,144,잡곡밥
1309,A611305401,144,잡곡밥
1410,A612288401,144,잡곡밥
1411,A612288401,144,잡곡밥
1412,A612288401,144,잡곡밥
1413,A612288401,144,잡곡밥
1414,A612288401,144,잡곡밥
1415,A612288401,144,잡곡밥
1416,A612288401,144,잡곡밥
1417,A612288401,144,잡곡밥
1418,A612288401,144,잡곡밥
1419,A612288401,144,잡곡밥
1430,A612293501,144,잡곡밥
1431,A612293501,144,잡곡밥
1432,A612293501,144,잡곡밥
1433,A612293501,144,잡곡밥
1434,A612356401,144,잡곡밥
1435,A612356401,144,잡곡밥
1436,A612356401,144,잡곡밥
1437,A612356401,144,잡곡밥
1438,A612356401,144,잡곡밥
1439,A612356401,144,잡곡밥
1440,A612356401,144,잡곡밥
1441,A612356401,144,잡곡밥
1442,A612356401,144,잡곡밥
1443,A612356401,144,잡곡밥
1444,A612356402,144,잡곡밥
1445,A612356402,144,잡곡밥
1446,A612356402,144,잡곡밥
1447,A612356402,144,잡곡밥
1448,A612356402,144,잡곡밥
1449,A612356402,144,잡곡밥
1450,A612356402,144,잡곡밥
1451,A612356402,144,잡곡밥
1452,A612356402,144,잡곡밥
1453,A612356402,144,잡곡밥
1487,A613194901,144,잡곡밥
1488,A613194901,144,잡곡밥
1489,A613194901,144,잡곡밥
1490,A613194901,144,잡곡밥
1491,A613194901,144,잡곡밥
1492,A613194901,144,잡곡밥
1493,A613194901,144,잡곡밥
1494,A613194901,144,잡곡밥
1495,A613194901,144,잡곡밥
1496,A613194901,144,잡곡밥
1497,A613194901,144,잡곡밥
1498,A613194901,144,잡곡밥
1499,A613194901,144,잡곡밥
1500,A613194901,144,잡곡밥
1501,A613194901,144,잡곡밥
1550,A614191502,144,잡곡밥
1551,A614191502,144,잡곡밥
1552,A614191502,144,잡곡밥
1553,A614191502,144,잡곡밥
1554,A614191502,144,잡곡밥
1555,A614191502,144,잡곡밥
1556,A614191502,144,잡곡밥
1557,A614191502,144,잡곡밥
1558,A614191502,144,잡곡밥
1559,A614191503,144,잡곡밥
1560,A614191503,144,잡곡밥
1561,A614191503,144,잡곡밥
1562,A614191503,144,잡곡밥
1563,A614191503,144,잡곡밥
1564,A614191503,144,잡곡밥
1565,A614191503,144,잡곡밥
1566,A614191503,144,잡곡밥
1567,A614191503,144,잡곡밥
1568,A614191503,144,잡곡밥
1569,A614191503,144,잡곡밥
1570,A614191503,144,잡곡밥
1571,A614191503,144,잡곡밥
1572,A614191503,144,잡곡밥
1635,A614235701,144,잡곡밥
1636,A614235701,144,잡곡밥
1637,A614235701,144,잡곡밥
1638,A614235702,144,잡곡밥
1639,A614235702,144,잡곡밥
1640,A614235702,144,잡곡밥
1641,A614235702,144,잡곡밥
1642,A614235702,144,잡곡밥
1643,A614235702,144,잡곡밥
1661,A614283301,144,잡곡밥
1662,A614283301,144,잡곡밥
1663,A614283301,144,잡곡밥
1664,A614283301,144,잡곡밥
1665,A614283301,144,잡곡밥
1666,A614283301,144,잡곡밥
1667,A614283301,144,잡곡밥
1668,A614283301,144,잡곡밥
1669,A614283301,144,잡곡밥
1670,A614283301,144,잡곡밥
1671,A614283301,144,잡곡밥
1672,A614283302,144,잡곡밥
1673,A614283302,144,잡곡밥
1674,A614283302,144,잡곡밥
1675,A614283302,144,잡곡밥
1676,A614283302,144,잡곡밥
1677,A614283302,144,잡곡밥
1678,A614283302,144,잡곡밥
