,ID,N_DCODE,음식코드명
16,A804313901,2090,"커피,카페라떼"
17,A804313901,2090,"커피,카페라떼"
36,A819383601,2090,"커피,카페라떼"
37,A819383601,2090,"커피,카페라떼"
38,A819390402,2090,"커피,카페라떼"
39,A819390402,2090,"커피,카페라떼"
40,A822305402,2090,"커피,카페라떼"
41,A822305402,2090,"커피,카페라떼"
56,A829283301,2090,"커피,카페라떼"
57,A829283301,2090,"커피,카페라떼"
58,A829283302,2090,"커피,카페라떼"
59,A829283302,2090,"커피,카페라떼"
106,H801385303,2090,"커피,카페라떼"
107,H801385303,2090,"커피,카페라떼"
116,H804247602,2090,"커피,카페라떼"
117,H804247602,2090,"커피,카페라떼"
161,H839380203,2090,"커피,카페라떼"
162,H839380203,2090,"커피,카페라떼"
169,I802344501,2090,"커피,카페라떼"
170,I802344501,2090,"커피,카페라떼"
199,O810293501,2090,"커피,카페라떼"
200,O810293501,2090,"커피,카페라떼"
201,O810293502,2090,"커피,카페라떼"
202,O810293502,2090,"커피,카페라떼"
350,B810359801,3107,"초밥,광어"
351,B810359801,3107,"초밥,광어"
352,B810359801,3107,"초밥,광어"
353,B810359801,3107,"초밥,광어"
354,B810359801,3107,"초밥,광어"
355,B810359801,3107,"초밥,광어"
356,B810359801,3107,"초밥,광어"
357,B810359801,3107,"초밥,광어"
358,B810359801,3107,"초밥,광어"
359,B810359801,3107,"초밥,광어"
360,B810359801,3107,"초밥,광어"
394,I805286701,3107,"초밥,광어"
395,I805286701,3107,"초밥,광어"
396,I805286701,3107,"초밥,광어"
397,I805286701,3107,"초밥,광어"
398,I805286701,3107,"초밥,광어"
399,I805286701,3107,"초밥,광어"
400,I805286701,3107,"초밥,광어"
401,I805286701,3107,"초밥,광어"
402,I805286701,3107,"초밥,광어"
403,I805286701,3107,"초밥,광어"
404,I805286701,3107,"초밥,광어"
405,I805286702,3107,"초밥,광어"
406,I805286702,3107,"초밥,광어"
407,I805286702,3107,"초밥,광어"
408,I805286702,3107,"초밥,광어"
409,I805286702,3107,"초밥,광어"
410,I805286702,3107,"초밥,광어"
411,I805286702,3107,"초밥,광어"
412,I805286702,3107,"초밥,광어"
413,I805286702,3107,"초밥,광어"
414,I805286702,3107,"초밥,광어"
415,I805286702,3107,"초밥,광어"
460,R801259501,3107,"초밥,광어"
461,R801259501,3107,"초밥,광어"
462,R801259501,3107,"초밥,광어"
463,R801259501,3107,"초밥,광어"
464,R801259501,3107,"초밥,광어"
465,R801259501,3107,"초밥,광어"
466,R801259501,3107,"초밥,광어"
467,R801259501,3107,"초밥,광어"
468,R801259501,3107,"초밥,광어"
469,R801259501,3107,"초밥,광어"
470,R801259501,3107,"초밥,광어"
482,A810205102,3109,"초밥,문어"
483,A810205102,3109,"초밥,문어"
484,A810205102,3109,"초밥,문어"
485,A810205102,3109,"초밥,문어"
486,A810205102,3109,"초밥,문어"
487,A810205102,3109,"초밥,문어"
488,A810205102,3109,"초밥,문어"
489,A810205102,3109,"초밥,문어"
490,A810205102,3109,"초밥,문어"
491,A810205102,3109,"초밥,문어"
492,A810205102,3109,"초밥,문어"
713,B810359801,3110,"초밥,새우"
714,B810359801,3110,"초밥,새우"
715,B810359801,3110,"초밥,새우"
716,B810359801,3110,"초밥,새우"
717,B810359801,3110,"초밥,새우"
718,B810359801,3110,"초밥,새우"
719,B810359801,3110,"초밥,새우"
720,B810359801,3110,"초밥,새우"
721,B810359801,3110,"초밥,새우"
722,B810359801,3110,"초밥,새우"
723,B810359801,3110,"초밥,새우"
856,I805286701,3110,"초밥,새우"
857,I805286701,3110,"초밥,새우"
858,I805286701,3110,"초밥,새우"
859,I805286701,3110,"초밥,새우"
860,I805286701,3110,"초밥,새우"
861,I805286701,3110,"초밥,새우"
862,I805286701,3110,"초밥,새우"
863,I805286701,3110,"초밥,새우"
864,I805286701,3110,"초밥,새우"
865,I805286701,3110,"초밥,새우"
866,I805286701,3110,"초밥,새우"
867,I805286702,3110,"초밥,새우"
868,I805286702,3110,"초밥,새우"
869,I805286702,3110,"초밥,새우"
870,I805286702,3110,"초밥,새우"
871,I805286702,3110,"초밥,새우"
872,I805286702,3110,"초밥,새우"
873,I805286702,3110,"초밥,새우"
874,I805286702,3110,"초밥,새우"
875,I805286702,3110,"초밥,새우"
876,I805286702,3110,"초밥,새우"
877,I805286702,3110,"초밥,새우"
1197,H822376801,3113,"초밥,연어"
1198,H822376801,3113,"초밥,연어"
1199,H822376801,3113,"초밥,연어"
1200,H822376801,3113,"초밥,연어"
1201,H822376801,3113,"초밥,연어"
1202,H822376801,3113,"초밥,연어"
1203,H822376801,3113,"초밥,연어"
1204,H822376801,3113,"초밥,연어"
1205,H822376801,3113,"초밥,연어"
1206,H822376801,3113,"초밥,연어"
1207,H822376801,3113,"초밥,연어"
1208,H822376802,3113,"초밥,연어"
1209,H822376802,3113,"초밥,연어"
1210,H822376802,3113,"초밥,연어"
1211,H822376802,3113,"초밥,연어"
1212,H822376802,3113,"초밥,연어"
1213,H822376802,3113,"초밥,연어"
1214,H822376802,3113,"초밥,연어"
1215,H822376802,3113,"초밥,연어"
1216,H822376802,3113,"초밥,연어"
1217,H822376802,3113,"초밥,연어"
1218,H822376802,3113,"초밥,연어"
1252,I805286701,3113,"초밥,연어"
1253,I805286701,3113,"초밥,연어"
1254,I805286701,3113,"초밥,연어"
