,ID,N_DCODE,음식코드명
0,A701020501,1527,총각김치
1,A701023303,1527,총각김치
2,A701028102,1527,총각김치
16,A706024403,1527,총각김치
20,A708027101,1527,총각김치
21,A708027101,1527,총각김치
31,A712028101,1527,총각김치
32,A712028101,1527,총각김치
33,A712028102,1527,총각김치
34,A712028102,1527,총각김치
36,A717021805,1527,총각김치
38,A718021602,1527,총각김치
40,A719020102,1527,총각김치
41,A723028001,1527,총각김치
42,A723028001,1527,총각김치
43,A723028001,1527,총각김치
44,A723031201,1527,총각김치
49,A724029802,1527,총각김치
53,A728025201,1527,총각김치
54,A728025201,1527,총각김치
55,A731025202,1527,총각김치
56,A731030401,1527,총각김치
57,A731030401,1527,총각김치
67,A737029801,1527,총각김치
68,A737029801,1527,총각김치
74,A738023301,1527,총각김치
75,A738023301,1527,총각김치
84,B703030202,1527,총각김치
85,B703030202,1527,총각김치
86,B703031401,1527,총각김치
87,B703031401,1527,총각김치
88,B703031402,1527,총각김치
89,B703031402,1527,총각김치
90,B703031402,1527,총각김치
97,B710026601,1527,총각김치
98,B711023501,1527,총각김치
103,C702023501,1527,총각김치
105,C705029701,1527,총각김치
106,C705030801,1527,총각김치
107,C705030802,1527,총각김치
108,C706023401,1527,총각김치
109,C706023401,1527,총각김치
110,C706023402,1527,총각김치
111,C706023402,1527,총각김치
116,C706030702,1527,총각김치
117,C708030501,1527,총각김치
142,D706027501,1527,총각김치
143,D706027501,1527,총각김치
144,D706027501,1527,총각김치
151,D707029901,1527,총각김치
152,D707029901,1527,총각김치
174,D708029603,1527,총각김치
175,D708029603,1527,총각김치
176,D708029603,1527,총각김치
177,D708030801,1527,총각김치
178,D709030901,1527,총각김치
221,H702025001,1527,총각김치
222,H702025001,1527,총각김치
225,H703023501,1527,총각김치
226,H703023501,1527,총각김치
227,H703023501,1527,총각김치
240,H704026201,1527,총각김치
241,H704026202,1527,총각김치
251,H706022802,1527,총각김치
252,H706022802,1527,총각김치
253,H706022802,1527,총각김치
254,H706023101,1527,총각김치
255,H706023101,1527,총각김치
256,H706023101,1527,총각김치
259,H706030402,1527,총각김치
263,H707022401,1527,총각김치
264,H707022402,1527,총각김치
265,H707024001,1527,총각김치
266,H707024002,1527,총각김치
267,H707025202,1527,총각김치
268,H707025202,1527,총각김치
269,H707030302,1527,총각김치
306,H725020902,1527,총각김치
311,H727027901,1527,총각김치
312,H727027901,1527,총각김치
313,H727027902,1527,총각김치
316,H729020902,1527,총각김치
317,H729028401,1527,총각김치
320,H732029402,1527,총각김치
321,H732031501,1527,총각김치
322,H732031501,1527,총각김치
338,H737029105,1527,총각김치
351,H742020801,1527,총각김치
366,I701029202,1527,총각김치
367,I701029202,1527,총각김치
368,I701029202,1527,총각김치
376,I702036201,1527,총각김치
394,J701033201,1527,총각김치
407,J705025401,1527,총각김치
408,J705025401,1527,총각김치
409,J705025401,1527,총각김치
411,J706029501,1527,총각김치
418,K702027001,1527,총각김치
425,M701020302,1527,총각김치
427,M701029202,1527,총각김치
428,M701029202,1527,총각김치
429,M701031301,1527,총각김치
430,M701031302,1527,총각김치
431,M701031302,1527,총각김치
458,N704031201,1527,총각김치
459,N704031201,1527,총각김치
460,N704031201,1527,총각김치
468,O701038901,1527,총각김치
469,O701038901,1527,총각김치
479,O703021001,1527,총각김치
480,O703021001,1527,총각김치
481,O703021001,1527,총각김치
484,O703030801,1527,총각김치
486,O703034901,1527,총각김치
487,O703034901,1527,총각김치
492,O706020801,1527,총각김치
496,O708033001,1527,총각김치
497,O708033001,1527,총각김치
498,O708033002,1527,총각김치
499,O708033002,1527,총각김치
502,R705026202,1527,총각김치
505,R705028702,1527,총각김치
506,R705028702,1527,총각김치
507,R705028702,1527,총각김치
508,R705029302,1527,총각김치
509,R705029302,1527,총각김치
510,R705029302,1527,총각김치
511,R705035101,1527,총각김치
514,A701020501,136,쌀밥
515,A701021302,136,쌀밥
531,A701028102,136,쌀밥
